activity_id,title,description,status,start_date,end_date,spent_time,expected_time 
348,U?,"Bene facis, inquit, quod me adiuvas, et istis quidem, quae modo dixisti, utar potius Latinis, in ceteris subvenies, si me haerentem videbis. Sedulo, inquam, faciam. sed 'fortuna fortis'; quare conare, quaeso. quid enim possumus hoc agere divinius? Placet his, inquit, quorum ratio mihi probatur, simulatque natum sit animal - hin.",FINISHED,2018-11-25,2018-12-01,2968,2880
349,No!,"Sed tamen intellego quid velit.quaero autem quid sit, quod, cum dissolutione, id est morte, sensusomnis extinguatur, et cum reliqui nihil sit omnino, quod pertineatad nos, tam accurate tamque diligenter caveat et sanciat utAmynomachus et Timocrates, heredes sui, de Hermarchi sententia dentquod satis sit ad diem agendum natalem suum quotannis menseGamelion?",FINISHED,2018-12-01,2018-12-07,2942,2880
350,E.,"Istud quidem, inquam, optime dicis, sed quaero nonne tibi faciendum idem sit nihil dicenti bonum, quod non rectum honestumque sit, reliquarum rerum discrimen omne tollenti. Si quidem, inquit, tollerem, sed relinquo. Quonam modo? inquam. si una virtus, unum istud, quod honestum appellas, rectum, laudabile, decorum - erit enim notius qual.",FINISHED,2018-12-07,2018-12-13,2773,2880
351,Eademqu?,"Sed possunt haec quadam ratione dici non modo non repugnantibus, verum etiam approbantibus nobis. sic enim ab Epicuro sapiens semper beatus inducitur: finitas habet cupiditates, neglegit mortem, de diis inmortalibus sine ullo metu vera sentit, non dubitat, si ita melius sit, migrare de vita. his rebus instructus semper est i?",FINISHED,2018-12-13,2018-12-19,2805,2880
352,Voluptate?,"Lege laudationes, Torquate, noneorum, qui sunt ab Homero laudati, non Cyri, non Agesilai, nonAristidi aut Themistocli, non Philippi aut Alexandri, legenostrorum hominum, lege vestrae familiae; neminem videbis italaudatum, ut artifex callidus comparandarum voluptatum diceretur.non elogia monimentorum id significant, velut hoc ad portam: 'Huncunum plurimae consentiunt gentes populi primarium fuissevirum.' Idn?",FINISHED,2018-12-19,2018-12-25,2769,2880
353,Videmu?,"Ut autem a facillimis ordiamur, prima veniat in medium Epicuri ratio, quae plerisque notissima est. quam a nobis sic intelleges eitam, ut ab ipsis, qui eam disciplinam probant, non soleat accuratius explicari; verum enim invenire volumus, non tamquam adversarium aliquem convincere. accurate autem quondam a L. Torquato, homine omni doctrin.",FINISHED,2018-12-25,2018-12-31,2892,2880
354,Omn!,"Sed de clarorum hominum factis illustribus et gloriosis satis hoc loco dictum sit. erit enim iam de omnium virtutum cursu ad voluptatem proprius disserendi locus. nunc autem explicabo, voluptas ipsa quae qualisque sit, ut tollatur error omnis imperitorum intellegaturque ea, quae voluptaria, delicata, mollis habeatur disciplina, quam gravis, quam continens!",FINISHED,2018-12-31,2019-01-06,2794,2880
355,Traditur.,"Posuisti etiam dicere alios foedusquoddam inter se facere sapientis, ut, quem ad modum sint in seipsos animati, eodem modo sint erga amicos; id et fieri posse etsaepe esse factum et ad voluptates percipiendas maxime pertinere.hoc foedus facere si potuerunt, faciant etiam illud, ut aequitatem, modestiam, virtutes omnes per se ipsa!",FINISHED,2019-01-06,2019-01-12,2931,2880
356,Se?,"Ut vero conservetur omnis homini erga hominem societas, coniunctio, caritas, et emolumenta et detrimenta, quae et appellant, communia esse voluerunt; quorum altera prosunt, nocent altera. neque solum ea communia, verum etiam paria esse dixerunt. incommoda autem et commoda - ita enim et appello - communia esse voluerunt, paria noluerunt. ill?",FINISHED,2019-01-12,2019-01-18,2780,2880
357,Illu?,"Eademque ratione ne temperantiam quidem propter se expetendam esse dicemus, sed quia pacem animis afferat et eos quasi concordia quadam placet ac leniat. temperantia est enim, quae in rebus aut expetendis aut fugiendis ut rationem sequamur monet. nec enim satis est iudicare quid faciendum non faciendumve sit, sed stare etia?",FINISHED,2019-01-18,2019-01-24,2898,2880
358,Se!,"Illud autem ipsum qui optineripotest, quod dicitis, omnis animi et voluptates et dolores adcorporis voluptates ac dolores pertinere? nihilne te delectatumquam - video, quicum loquar - te igitur, Torquate, ipsum per senihil delectat? omitto dignitatem, honestatem, speciem ipsamvirtutum, de quibus ante dictum est, haec leviora ponam: poema, orationem cum au.",FINISHED,2019-01-24,2019-01-30,2808,2880
359,Se!,"Quodsi corporis gravioribus morbis vitae iucunditas impeditur, quanto magis animi morbis impediri necesse est! animi autem morbi sunt cupiditates inmensae et inanes divitiarum, gloriae, dominationis, libidinosarum etiam voluptatum. accedunt aegritudines, molestiae, maerores, qui exedunt animos conficiuntque curis hominum non intellegentium nihil dolendum esse animo, quod sit a dolore corporis praesent!",FINISHED,2019-01-30,2019-02-05,2803,2880
360,Stuprat.,"Ad altiora quaedam etmagnificentiora, mihi crede, Torquate, nati sumus, nec id ex animisolum partibus, in quibus inest memoria rerum innumerabilium, in tequidem infinita, inest coniectura consequentium non multum adivinatione differens, inest moderator cupiditatis pudor, inest adhumanam societatem iustitiae fida custodia, inest in perpetiendislaboribus adeundisque periculis firma et stabilis doloris mortisquecontempti!",FINISHED,2019-02-05,2019-02-11,2938,2880
361,It.,"Sed haec nihil sane ad rem; illavideamus, quae a te de amicitia dicta sunt. e quibus unum mihividebar ab ipso Epicuro dictum cognoscere, amicitiam a voluptatenon posse divelli ob eamque rem colendam esse, quod,sine ea tuto et sine metu vivi non posset, neiucunde quidem posset. satis est ad hoc responsum.",FINISHED,2019-02-11,2019-02-17,2966,2880
362,Haec.,"Eadem fortitudinis ratio reperietur. nam neque laborum perfunctio neque perpessio dolorum per se ipsa allicit nec patientia nec assiduitas nec vigiliae nec ea ipsa, quae laudatur, industria, ne fortitudo quidem, sed ista sequimur, ut sine cura metuque vivamus animumque et corpus, quantum efficere possimus, molestia liberemus. ut enim mortis met!",FINISHED,2019-02-17,2019-02-23,2817,2880
363,Sedulo.,"Traditur, inquit, ab Epicuro rationeglegendi doloris. Iam id ipsum absurdum, maximum malum neglegi.sed quae tandem ista ratio est? Maximus dolor, inquit, brevis est.Primum quid tu dicis breve? deinde dolorem quem maximum? quid enim?summus dolor plures dies manere non potest? vide, ne etiam menses!nisi forte eum dicis, qui, simul atque arripuit?",FINISHED,2019-02-23,2019-03-01,2944,2880
364,Han.,"Heri, inquam, ludis commissis ex urbe profectus veni ad vesperum. causa autem fuit huc veniendi ut quosdam hinc libros promerem. et quidem, Cato, hanc totam copiam iam Lucullo nostro notam esse oportebit; nam his libris eum malo quam reliquo ornatu villae delectari. est enim mihi magnae curae - quamquam ho!",FINISHED,2019-03-01,2019-03-07,2978,2880
365,A?,"Quid? si in ipso corpore multavoluptati praeponenda sunt, ut vires, valitudo, velocitas, pulchritudo, quid tandem in animis censes? in quibus doctissimiilli veteres inesse quiddam caeleste et divinum putaverunt. Quodsiesset in voluptate summum bonum, ut dicitis, optabile esset maximain voluptate nullo intervallo interiecto dies noctesque versari, cum omnes sensus dulcedine omn!",FINISHED,2019-03-07,2019-03-13,2909,2880
366,Qua?,"Laelius clamoressofw ille so lebat Edere compellans gumias ex ordinenostros. praeclare Laelius, et recte sofw, illudque vere: OPubli, o gurges, Galloni! es homo miser, inquit. Cenasti in vitanumquam bene, cum omnia in ista Consumis squilla atque acupenserecum decimano. is haec loquitur, qui in voluptate nihil ponens negateum bene cenare, qu.",FINISHED,2019-03-13,2019-03-19,2848,2880
367,Se?,"Omne autem, quod honestum sit, id esse propter se expetendum commune nobis est cum multorum aliorum philosophorum sententiis. praeter enim tres disciplinas, quae virtutem a summo bono excludunt, ceteris omnibus philosophis haec est tuenda sententia, maxime tamen his , qui nihil aliud in bonorum numero nisi honestum esse voluerunt. se.",FINISHED,2019-03-19,2019-03-25,2996,2880
368,Invita!,"O praeclaram beate vivendi et apertam et simplicem et directam viam! eum enim certe nihil homini possit melius esse quam vacare omni dolore et molestia perfruique maximis et animi et corporis voluptatibus, videtisne quam nihil praetermittatur quod vitam adiuvet, quo facilius id, quod propositum est, summum bonum consequamur? clamat Epicurus!",FINISHED,2019-03-25,2019-03-31,2996,2880
369,Ia?,"Negat esse eam, inquit, propter seexpetendam. Aliud igitur esse censet gaudere, aliud non dolere. Etquidem, inquit, vehementer errat; nam, ut paulo ante docui, augendae voluptatis finis est doloris omnis amotio. Non dolere, inquam, istud quam vim habeat postea videro; aliam vero vimvoluptatis esse, aliam nihil dolendi, nisi valde pertinax fueris!",FINISHED,2019-03-31,2019-04-06,2854,2880
370,Nega.,"Primum non saepe, deinde quae estista relaxatio, cum et praeteriti doloris memoria recens est etfuturi atque inpendentis torquet timor? 'Moriatur', inquit.Fortasse id optimum, sed ubi illud: 'Plus semper voluptatis'? sienim ita est, vide ne facinus facias, cum mori suadeas. potius ergoilla dicantur: turpe esse, viri non esse debilitari dolore, frangi!",FINISHED,2019-04-06,2019-04-12,2789,2880
371,Han.,"Sed iam sentio me esse longius provectum, quam proposita ratio postularet. verum admirabilis compositio disciplinae incredibilisque rerum me traxit ordo; quem, per deos inmortales! nonne miraris? quid enim aut in natura, qua nihil est aptius, nihil descriptius, aut in operibus manu factis tam compositum tamque compactum et coagmentatum inveniri potest?",FINISHED,2019-04-12,2019-04-18,2828,2880
372,S?,"Nec vero ignoro varias philosophorum fuisse sententias, eorum dico, qui summum bonum, quod ultimum appello, in animo ponerent. quae quamquam vitiose quidam secuti sunt, tamen non modo iis tribus, qui virtutem a summo bono segregaverunt, cum aut voluptatem aut vacuitatem doloris aut prima naturae in summis bonis ponerent, sed etia!",FINISHED,2019-04-18,2019-04-24,2772,2880
373,Ia?,"Verum esto: verbum ipsumvoluptatis non habet dignitatem, nec nos fortasse intellegimus. hocenim identidem dicitis, non intellegere nos quam dicatisvoluptatem. rem videlicet difficilem et obscuram! individua cumdicitis et intermundia, quae nec sunt ulla nec possunt esse, intellegimus, voluptas, quae passeribus omnibus nota est, a nobisintellegi non potest? quid, si efficio u.",FINISHED,2019-04-24,2019-04-30,2834,2880
374,U?,"Fieri, inquam, Triari, nullo pacto potest, ut non dicas, quid non probes eius, a quo dissentias. quid enim me prohiberet Epicureum esse, si probarem, quae ille diceret? cum praesertim illa perdiscere ludus esset. Quam ob rem dissentientium inter se reprehensiones non sunt vituperandae, maledicta, contumeliae, tum iracundiae, contentiones concertationesque i.",FINISHED,2019-04-30,2019-05-06,2836,2880
375,Se.,"At quam pulchre dicere videbare, cum ex altera parte ponebas cumulatum aliquem plurimis et maximisvoluptatibus nullo nec praesenti nec futuro dolore, ex altera autemcruciatibus maximis toto corpore nulla nec adiuncta nec speratavoluptate, et quaerebas, quis aut hoc miserior aut superiore illobeatior; deinde concludebas summum malum esse dolorem, summum bonumvoluptatem! Luciu?",FINISHED,2019-05-06,2019-05-12,2773,2880
376,Praeclare?,"Ne tu, inquam, Cato, verbis illustribus et id, quod vis, declarantibus! itaque mihi videris Latine docere philosophiam et ei quasi civitatem dare. quae quidem adhuc peregrinari Romae videbatur nec offerre sese nostris sermonibus, et ista maxime propter limatam quandam et rerum et verborum tenuitatem. scio enim esse quosdam, qui quavi?",FINISHED,2019-05-12,2019-05-18,2978,2880
377,Cupiditate.,"Sed quid ages tandem, si utilitasab amicitia, ut fit saepe, defecerit? relinquesne? quae istaamicitia est? retinebis? qui convenit? quid enim de amicitiastatueris utilitatis causa expetenda vides. 'Ne in odium veniam, siamicum destitero tueri.' Primum cur ista res digna odio est, nisiquod est turpis? quodsi, ne quo incommodo afficiare, non relinquesamicum.",FINISHED,2019-05-18,2019-05-24,2819,2880
378,Constitut!,"Quae possunt eadem contraCarneadeum illud summum bonum dici, quod is non tam, ut probaret, protulit, quam ut Stoicis, quibuscum bellum gerebat, opponeret. idautem eius modi est, ut additum ad virtutem auctoritatem videaturhabiturum et expleturum cumulate vitam beatam, de quo omnis haecquaestio est. nam qui ad virtutem adiungunt vel voluptatem, quamuna?",FINISHED,2019-05-24,2019-05-30,2983,2880
379,Ia.,"Traditur, inquit, ab Epicuro rationeglegendi doloris. Iam id ipsum absurdum, maximum malum neglegi.sed quae tandem ista ratio est? Maximus dolor, inquit, brevis est.Primum quid tu dicis breve? deinde dolorem quem maximum? quid enim?summus dolor plures dies manere non potest? vide, ne etiam menses!nisi forte eum dicis, qui, simul atque arripuit?",FINISHED,2019-05-30,2019-06-05,2875,2880
380,Huiu?,"Nec vero ignoro varias philosophorum fuisse sententias, eorum dico, qui summum bonum, quod ultimum appello, in animo ponerent. quae quamquam vitiose quidam secuti sunt, tamen non modo iis tribus, qui virtutem a summo bono segregaverunt, cum aut voluptatem aut vacuitatem doloris aut prima naturae in summis bonis ponerent, sed etia!",FINISHED,2019-06-05,2019-06-11,2941,2880
381,Quapropte!,"Magno hic ingenio, sed res setamen sic habet, ut nimis imperiosi philosophi sit vetarememinisse. vide ne ista sint Manliana vestra aut maiora etiam, siimperes quod facere non possim. quid, si etiam iucunda memoria estpraeteritorum malorum? ut proverbia non nulla veriora sint quamvestra dogmata. vulgo enim dicitur: 'Iucundi acti labores', necmal.",FINISHED,2017-05-06,2017-05-10,1996,1920
382,Haec.,"Et quoniam eadem naturacupiditatem ingenuit homini veri videndi, quod facillime apparet, cum vacui curis etiam quid in caelo fiat scire avemus, his initiisinducti omnia vera diligimus, id est fidelia, simplicia, constantia, tum vana, falsa, fallentia odimus, ut fraudem, periurium, malitiam, iniuriam. eadem ratio habet in se quiddamamplum atque magnificum, a!",FINISHED,2017-05-10,2017-05-14,1939,1920
383,N?,"Haec dicuntur inconstantissime.cum enim summum bonum in voluptate ponat, negat infinito temporeaetatis voluptatem fieri maiorem quam finito atque modico. quibonum omne in virtute ponit, is potest dicere perfici beatam vitamperfectione virtutis; negat enim summo bono afferre incrementumdiem. qui autem voluptate vitam effici beatam putabit, qui sibi isconveniet, si negabit voluptate?",FINISHED,2017-05-14,2017-05-18,1921,1920
384,Han!,"Sed iure Mucius. ego autem mirari non queo unde hoc sit tam insolens domesticarum rerum fastidium. non est omnino hic docendi locus; sed ita sentio et saepe disserui, Latinam linguam non modo non inopem, ut vulgo putarent, sed locupletiorem etiam esse quam Graecam. quando enim nobis, vel dicam aut oratoribu.",FINISHED,2017-05-18,2017-05-22,2008,1920
385,U!,"At quam pulchre dicere videbare, cum ex altera parte ponebas cumulatum aliquem plurimis et maximisvoluptatibus nullo nec praesenti nec futuro dolore, ex altera autemcruciatibus maximis toto corpore nulla nec adiuncta nec speratavoluptate, et quaerebas, quis aut hoc miserior aut superiore illobeatior; deinde concludebas summum malum esse dolorem, summum bonumvoluptatem! Luciu!",FINISHED,2017-05-22,2017-05-26,1983,1920
386,Se.,"Nam quod ait sensibus ipsisiudicari voluptatem bonum esse, dolorem malum, plus tribuitsensibus, quam nobis leges permittunt, privatarumlitium iudices sumus. nihil enim possumus iudicare, nisi quod estnostri iudicii - in quo frustra iudices solent, cum sententiampronuntiant, addere: 'si quid mei iudicii est'; si enim non fuiteorum iudicii, nihilo magis hoc no!",FINISHED,2017-05-26,2017-05-30,1814,1920
387,Qui?,"Ut vero conservetur omnis homini erga hominem societas, coniunctio, caritas, et emolumenta et detrimenta, quae et appellant, communia esse voluerunt; quorum altera prosunt, nocent altera. neque solum ea communia, verum etiam paria esse dixerunt. incommoda autem et commoda - ita enim et appello - communia esse voluerunt, paria noluerunt. ill.",FINISHED,2017-05-30,2017-06-03,1993,1920
388,Erg.,"Atque haec quidem de rerum nominibus. de ipsis rebus autem saepenumero, Brute, vereor ne reprehendar, cum haec ad te scribam, qui cum in philosophia, tum in optimo genere philosophiae tantum processeris. quod si facerem quasi te erudiens, iure reprehenderer. sed ab eo plurimum absum neque, ut ea cognoscas, quae tib?",FINISHED,2017-06-03,2017-06-07,1930,1920
389,Bestiaru?,"Quid ergo? istam voluptatem, inquit, Epicurus ignorat? Non semper, inquam; nam interdum nimis etiamnovit, quippe qui testificetur ne intellegere quidem se posse ubisit aut quod sit ullum bonum praeter illud, quod cibo et potione etaurium delectatione et obscena voluptate capiatur. an haec ab eonon dicuntur? Quasi vero me pudeat, inquit.",FINISHED,2017-06-07,2017-06-11,1849,1920
390,Huiu.,"Ut vero conservetur omnis homini erga hominem societas, coniunctio, caritas, et emolumenta et detrimenta, quae et appellant, communia esse voluerunt; quorum altera prosunt, nocent altera. neque solum ea communia, verum etiam paria esse dixerunt. incommoda autem et commoda - ita enim et appello - communia esse voluerunt, paria noluerunt. ill?",FINISHED,2017-06-11,2017-06-15,1962,1920
391,Place.,"Nec vero ignoro varias philosophorum fuisse sententias, eorum dico, qui summum bonum, quod ultimum appello, in animo ponerent. quae quamquam vitiose quidam secuti sunt, tamen non modo iis tribus, qui virtutem a summo bono segregaverunt, cum aut voluptatem aut vacuitatem doloris aut prima naturae in summis bonis ponerent, sed etia?",FINISHED,2017-06-15,2017-06-19,1854,1920
392,A,"Pertinere autem ad rem arbitrantur intellegi natura fieri ut liberi a parentibus amentur. a quo initio profectam communem humani generis societatem persequimur. quod primum intellegi debet figura membrisque corporum, quae ipsa declarant procreandi a natura habitam esse rationem. neque vero haec inter se congruere possent, ut natura et procreari velle?",FINISHED,2017-06-19,2017-06-23,1847,1920
393,Ia?,"An vero certius quicquam potest esse quam illorum ratione, qui dolorem in malis ponunt, non posse sapientem beatum esse, cum eculeo torqueatur? eorum autem, qui dolorem in malis non habent, ratio certe cogit ut in omnibus tormentis conservetur beata vita sapienti. etenim si dolores eosdem tolerabilius patiuntur qui excipiunt eo!",FINISHED,2017-06-23,2017-06-27,1860,1920
394,Sun?,"Iis igitur est difficilius satis facere, qui se Latina scripta dicunt contemnere. in quibus hoc primum est in quo admirer, cur in gravissimis rebus non delectet eos sermo patrius, cum idem fabellas Latinas ad verbum e Graecis expressas non inviti legant. quis enim tam inimicus paene nomini Romano est, qu?",FINISHED,2017-06-27,2017-07-01,1896,1920
395,Qua!,"Non igitur potestis voluptateomnia dirigentes aut tueri aut retinere virtutem. nam nec vir bonusac iustus haberi debet qui, ne malum habeat, abstinet se abiniuria. nosti, credo, illud: 'Nemo pius est, qui pietatem - '; caveputes quicquam esse verius. nec enim, dum metuit, iustus est, etcerte, si metuere destiterit, non erit.",FINISHED,2017-07-01,2017-07-05,1914,1920
396,U.,"Quae adhuc, Cato, a te dicta sunt, eadem, inquam, dicere posses, si sequerere Pyrrhonem aut Aristonem. nec enim ignoras his istud honestum non summum modo, sed etiam, ut tu vis, solum bonum videri. quod si ita est, sequitur id ipsum, quod te velle video, omnes semper beatos esse sapientes. hosn.",FINISHED,2017-07-05,2017-07-09,2020,1920
397,Atqu!,"Amicitiam autem adhibendam esse censent, quia sit ex eo genere, quae prosunt. quamquam autem in amicitia alii dicant aeque caram esse sapienti rationem amici ac suam, alii autem sibi cuique cariorem suam, tamen hi quoque posteriores fatentur alienum esse a iustitia, ad quam nati esse videamur, detrahere quid de aliquo!",FINISHED,2017-07-09,2017-07-13,2038,1920
398,Qua?,"Primum non saepe, deinde quae estista relaxatio, cum et praeteriti doloris memoria recens est etfuturi atque inpendentis torquet timor? 'Moriatur', inquit.Fortasse id optimum, sed ubi illud: 'Plus semper voluptatis'? sienim ita est, vide ne facinus facias, cum mori suadeas. potius ergoilla dicantur: turpe esse, viri non esse debilitari dolore, frangi.",FINISHED,2017-07-13,2017-07-17,1922,1920
399,Laeliu!,"Sed ut omittam pericula, labores, dolorem etiam, quem optimus quisque pro patria et pro suis suscipit, ut non modo nullam captet, sed etiam praetereat omnes voluptates, dolores denique quosvis suscipere malit quam deserere ullam officii partem, ad ea, quae hoc non minus declarant, sed videntur leviora, veniamus. Quid tibi, Torquate.",FINISHED,2017-07-17,2017-07-21,1909,1920
400,U!,"Primum non saepe, deinde quae estista relaxatio, cum et praeteriti doloris memoria recens est etfuturi atque inpendentis torquet timor? 'Moriatur', inquit.Fortasse id optimum, sed ubi illud: 'Plus semper voluptatis'? sienim ita est, vide ne facinus facias, cum mori suadeas. potius ergoilla dicantur: turpe esse, viri non esse debilitari dolore, frangi?",FINISHED,2017-07-21,2017-07-25,1869,1920
401,Ho?,"Extremum autem esse bonorum voluptatem ex hoc facillime perspici potest: Constituamus aliquem magnis, multis, perpetuis fruentem et animo et corpore voluptatibus nullo dolore nec impediente nec inpendente, quem tandem hoc statu praestabiliorem aut magis expetendum possimus dicere? inesse enim necesse est in eo, qui ita sit affectus, et firmitatem anim!",FINISHED,2017-07-25,2017-07-29,2018,1920
402,U.,"Audio equidem philosophi vocem, Epicure, sed quid tibi dicendum sit oblitus es. primum enim, sivera sunt ea, quorum recordatione te gaudere dicis, hoc est, sivera sunt tua scripta et inventa, gaudere non potes. nihil enim iamhabes, quod ad corpus referas; est autem a te semper dictum necgaudere quemquam nisi propte?",FINISHED,2017-07-29,2017-08-02,1972,1920
403,A,"Hanc ego cum teneam sententiam, quid est cur verear, ne ad eam non possim accommodare Torquatos nostros? quos tu paulo ante cum memoriter, tum etiam erga nos amice et benivole collegisti, nec me tamen laudandis maioribus meis corrupisti nec segniorem ad respondendum reddidisti. quorum facta quem ad modum, quaeso, interpretaris?",FINISHED,2017-08-02,2017-08-06,1962,1920
404,N?,"Sed de clarorum hominum factis illustribus et gloriosis satis hoc loco dictum sit. erit enim iam de omnium virtutum cursu ad voluptatem proprius disserendi locus. nunc autem explicabo, voluptas ipsa quae qualisque sit, ut tollatur error omnis imperitorum intellegaturque ea, quae voluptaria, delicata, mollis habeatur disciplina, quam gravis, quam continens!",FINISHED,2017-08-06,2017-08-10,1809,1920
405,Fieri.,"Restat locus huic disputationi vel maxime necessarius de amicitia, quam, si voluptas summum sit bonum, affirmatis nullam omnino fore. de qua Epicurus quidem ita dicit, omnium rerum, quas ad beate vivendum sapientia comparaverit, nihil esse maius amicitia, nihil uberius, nihil iucundius. nec vero hoc oratione solum, sed multo magis vit.",FINISHED,2017-08-10,2017-08-14,1816,1920
406,Erg.,"A primo, ut opinor, animantiumortu petitur origo summi boni. 'Simul atque natum animal est, gaudet voluptate et eam appetit ut bonum, aspernatur dolorem utmalum.' De malis autem et bonis ab iis animalibus, quae nondumdepravata sint, ait optime iudicari. haec et tu ita posuisti, etverba vestra sunt. quam multa vitiosa! summu!",FINISHED,2017-08-14,2017-08-18,1928,1920
407,Occultu!,"Ut igitur illis, qui, recta ethonesta quae sunt, ea statuunt per se expetenda, adeunda sunt saepepericula decoris honestatisque causa, sic vestris, qui omniavoluptate metiuntur, pericula adeunda sunt, ut adipiscantur magnasvoluptates. si magna res, magna hereditas agetur, cum pecuniavoluptates pariantur plurimae, idem erit Epicuro vestro faciendum, si suum finem bonorum sequ?",FINISHED,2017-08-18,2017-08-22,1858,1920
408,Eademqu?,"Sed ut omittam pericula, labores, dolorem etiam, quem optimus quisque pro patria et pro suis suscipit, ut non modo nullam captet, sed etiam praetereat omnes voluptates, dolores denique quosvis suscipere malit quam deserere ullam officii partem, ad ea, quae hoc non minus declarant, sed videntur leviora, veniamus. Quid tibi, Torquate?",FINISHED,2017-08-22,2017-08-26,1896,1920
409,Atqu?,"Aequam igitur pronuntiabitsententiam ratio adhibita primum divinarum humanarumque rerumscientia, quae potest appellari rite sapientia, deinde adiunctisvirtutibus, quas ratio rerum omnium dominas, tu voluptatumsatellites et ministras esse voluisti. quarum adeo omnium sententiapronuntiabit primum de voluptate nihil esse ei loci, non modo utsola ponatur in summi boni sede, quam quaerimus, sed n.",FINISHED,2017-08-26,2017-08-30,1941,1920
410,Laeliu?,"Sed iure Mucius. ego autem mirari non queo unde hoc sit tam insolens domesticarum rerum fastidium. non est omnino hic docendi locus; sed ita sentio et saepe disserui, Latinam linguam non modo non inopem, ut vulgo putarent, sed locupletiorem etiam esse quam Graecam. quando enim nobis, vel dicam aut oratoribu.",FINISHED,2017-08-30,2017-09-03,1985,1920
411,Omn!,"Primum non saepe, deinde quae estista relaxatio, cum et praeteriti doloris memoria recens est etfuturi atque inpendentis torquet timor? 'Moriatur', inquit.Fortasse id optimum, sed ubi illud: 'Plus semper voluptatis'? sienim ita est, vide ne facinus facias, cum mori suadeas. potius ergoilla dicantur: turpe esse, viri non esse debilitari dolore, frangi?",FINISHED,2017-09-03,2017-09-07,1855,1920
412,Est.,"Occultum facinus esse potuerit, gaudebit; deprehensus omnem poenam contemnet. erit enim instructusad mortem contemnendam, ad exilium, ad ipsum etiam dolorem. quemquidem vos, cum improbis poenam proponitis, inpetibilem facitis, cum sapientem semper boni plus habere vultis, tolerabilem. Sedfinge non solum callidum eum, qui aliquid improbe faciat, verumetiam praepotentem, ut M. Crassu?",FINISHED,2017-09-07,2017-09-11,1956,1920
413,Eademqu?,"Amicitiae vero locus ubi essepotest aut quis amicus esse cuiquam, quem non ipsum amet propteripsum? quid autem est amare, e quo nomen ductum amicitiae est, nisivelle bonis aliquem affici quam maximis, etiamsi ad se ex iis nihilredundet? 'Prodest', inquit, 'mihi eo esse animo.' Immo viderifortasse. esse enim, nisi eris, no?",FINISHED,2017-09-11,2017-09-15,1836,1920
414,Extremu?,"Sed dumefficere vultis beatum sapientem, cum maximas animo voluptatespercipiat omnibusque partibus maiores quam corpore, quid occurratnon videtis. animi enim quoque dolores percipiet omnibus partibusmaiores quam corporis. ita miser sit aliquando necesse est is, quemvos beatum semper vultis esse, nec vero id, dum omnia ad voluptatemdoloremque referetis, efficietis umquam. Quare aliu!",FINISHED,2017-09-15,2017-09-19,1941,1920
415,Ho!,"Dicuntur ista, Cato, magnifice, inquam, sed videsne verborum gloriam tibi cum Pyrrhone et cum Aristone, qui omnia exaequant, esse communem? de quibus cupio scire quid sentias. Egone quaeris, inquit, quid sentiam? quos bonos viros, fortes, iustos, moderatos aut audivimus in re publica fuisse aut ipsi vidimus, qui sine ulla doctrin.",FINISHED,2017-09-19,2017-09-23,1836,1920
416,No.,"Amicitiam autem adhibendam esse censent, quia sit ex eo genere, quae prosunt. quamquam autem in amicitia alii dicant aeque caram esse sapienti rationem amici ac suam, alii autem sibi cuique cariorem suam, tamen hi quoque posteriores fatentur alienum esse a iustitia, ad quam nati esse videamur, detrahere quid de aliquo!",FINISHED,2017-09-23,2017-09-27,1858,1920
417,Tribu.,"Qua igitur re ab deo vincitur, siaeternitate non vincitur? in qua quid est boni praeter summamvoluptatem, et eam sempiternam? quid ergo attinet gloriose loqui, nisi constanter loquare? In voluptate corporis - addam, si vis,'animi', dum ea ipsa, ut vultis, sit e corpore - situm est viverebeate. Quid? istam voluptatem perpetua.",FINISHED,2017-09-27,2017-10-01,1832,1920
418,Se!,"Circumscriptis igitur iis sententiis, quas posui, et iis, si quae similes earum sunt, relinquitur ut summum bonum sit vivere scientiam adhibentem earum rerum, quae natura eveniant, seligentem quae secundum naturam et quae contra naturam sint reicientem, id est convenienter congruenterque naturae vivere. Sed in ceteris artibus cum dicitur artificiose, posteru?",FINISHED,2017-10-01,2017-10-05,1872,1920
419,Qua?,"Hoc vero non videre, maximoargumento esse voluptatem illam, qua sublata neget se intellegereomnino quid sit bonum - eam autem ita persequitur: quae palatopercipiatur, quae auribus; cetera addit, quae si appelles, honospraefandus sit - hoc igitur, quod solum bonum severus et gravisphilosophus novit, idem non videt ne expetendum quidem esse, quodea!",FINISHED,2017-10-05,2017-10-09,1987,1920
420,Hae!,"Hanc ego cum teneam sententiam, quid est cur verear, ne ad eam non possim accommodare Torquatos nostros? quos tu paulo ante cum memoriter, tum etiam erga nos amice et benivole collegisti, nec me tamen laudandis maioribus meis corrupisti nec segniorem ad respondendum reddidisti. quorum facta quem ad modum, quaeso, interpretaris?",FINISHED,2017-10-09,2017-10-13,1852,1920
421,Constitut?,"Quodsi ne ipsarum quidem virtutum laus, in qua maxime ceterorum philosophorum exultat oratio, reperire exitum potest, nisi derigatur ad voluptatem, voluptas autem est sola, quae nos vocet ad se et alliciat suapte natura, non potest esse dubium, quin id sit summum atque extremum bonorum omnium, beateque vivere nihil aliud si?",FINISHED,2019-01-26,2019-01-27,462,480
